N_of_lot, Station, Start_time, Finish_time, During, lot, is_in_step_4
2, 1-0, 0.0, 1.55, 1.55, 1, False
2, 1-1, 0.0, 1.55, 1.55, 2, False
2, 2-0, 1.55, 2.3, 0.75, 1, False
2, 2-1, 1.55, 2.3, 0.75, 2, False
2, 1-0, 1.714, 3.264, 1.55, 3, False
2, 1-1, 1.714, 3.264, 1.55, 4, False
2, 3-0, 2.3, 3.5, 1.2, 1, False
2, 3-1, 2.3, 3.5, 1.2, 2, False
2, 2-0, 3.264, 4.014, 0.75, 3, False
2, 2-1, 3.264, 4.014, 0.75, 4, False
2, 1-0, 3.428, 4.978, 1.55, 5, False
2, 1-1, 3.428, 4.978, 1.55, 6, False
2, 2-0, 4.014, 5.064, 1.05, 1, True
2, 2-1, 4.014, 5.064, 1.05, 2, True
2, 3-0, 4.014, 5.214, 1.2, 3, False
2, 3-1, 4.014, 5.214, 1.2, 4, False
2, 2-0, 5.064, 5.814, 0.75, 5, False
2, 2-1, 5.064, 5.814, 0.75, 6, False
2, 1-0, 5.142, 6.692, 1.55, 7, False
2, 1-1, 5.142, 6.692, 1.55, 0, False
2, 2-0, 5.814, 6.864, 1.05, 3, True
2, 2-1, 5.814, 6.864, 1.05, 4, True
2, 3-0, 5.814, 7.014, 1.2, 5, False
2, 3-1, 5.814, 7.014, 1.2, 6, False
2, 2-0, 6.864, 7.614, 0.75, 7, False
2, 2-1, 6.864, 7.614, 0.75, 0, False
2, 1-0, 6.856, 8.406, 1.55, 1, False
2, 1-1, 6.856, 8.406, 1.55, 2, False
2, 2-0, 7.614, 8.664, 1.05, 5, True
2, 2-1, 7.614, 8.664, 1.05, 6, True
2, 3-0, 7.614, 8.814, 1.2, 7, False
2, 3-1, 7.614, 8.814, 1.2, 0, False
2, 2-0, 8.664, 9.414, 0.75, 1, False
2, 2-1, 8.664, 9.414, 0.75, 2, False
2, 1-0, 8.406, 9.956, 1.55, 3, False
2, 1-1, 8.406, 9.956, 1.55, 4, False
2, 2-0, 9.414, 10.464, 1.05, 7, True
2, 2-1, 9.414, 10.464, 1.05, 0, True
2, 3-0, 9.414, 10.614, 1.2, 1, False
2, 3-1, 9.414, 10.614, 1.2, 2, False
2, 2-0, 10.464, 11.214, 0.75, 3, False
2, 2-1, 10.464, 11.214, 0.75, 4, False
2, 1-0, 9.956, 11.506, 1.55, 5, False
2, 1-1, 9.956, 11.506, 1.55, 6, False
2, 2-0, 11.214, 12.264, 1.05, 1, True
2, 2-1, 11.214, 12.264, 1.05, 2, True
2, 3-0, 11.214, 12.414, 1.2, 3, False
2, 3-1, 11.214, 12.414, 1.2, 4, False
2, 2-0, 12.264, 13.014, 0.75, 5, False
2, 2-1, 12.264, 13.014, 0.75, 6, False
2, 1-0, 11.506, 13.056, 1.55, 7, False
2, 1-1, 11.506, 13.056, 1.55, 0, False
2, 2-0, 13.014, 14.064, 1.05, 3, True
